PCM1.P1.MAP,"(0.0, 250.0]","(250.0, 500.0]","(500.0, 750.0]","(750.0, 1000.0]","(1000.0, 1250.0]","(1250.0, 1500.0]","(1500.0, 1750.0]","(1750.0, 2000.0]","(2000.0, 2250.0]","(2250.0, 2500.0]","(2500.0, 2750.0]","(2750.0, 3000.0]","(3000.0, 3250.0]","(3250.0, 3500.0]","(3500.0, 3750.0]","(3750.0, 4000.0]","(4000.0, 4250.0]","(4250.0, 4500.0]","(4500.0, 4750.0]","(4750.0, 5000.0]","(5000.0, 5250.0]","(5250.0, 5500.0]","(5500.0, 5750.0]","(5750.0, 6000.0]","(6000.0, 6250.0]","(6250.0, 6500.0]","(6500.0, 6750.0]","(6750.0, 7000.0]","(7000.0, 7250.0]","(7250.0, 7500.0]","(7500.0, 7750.0]","(7750.0, 8000.0]","(8000.0, inf]"
"(-13.053, -11.94]",0.578,0.574,0.567,0.562,0.562,0.572,0.587,0.606,0.628,0.655,0.685,0.716,0.742,0.76,0.775,0.788,0.8,0.81,0.82,0.829,0.836,0.839,0.841,0.843,0.847,0.849,0.85,0.85,0.85,0.851,0.852,0.853,0.853
"(-11.94, -11.087]",0.576,0.569,0.559,0.552,0.552,0.562,0.579,0.601,0.627,0.656,0.685,0.713,0.739,0.758,0.773,0.787,0.799,0.81,0.82,0.829,0.836,0.839,0.841,0.843,0.847,0.849,0.85,0.85,0.851,0.853,0.854,0.856,0.857
"(-11.087, -10.234]",0.573,0.563,0.55,0.541,0.541,0.551,0.571,0.598,0.635,0.672,0.694,0.714,0.737,0.757,0.773,0.787,0.799,0.81,0.821,0.83,0.837,0.84,0.841,0.844,0.848,0.85,0.851,0.852,0.854,0.857,0.859,0.861,0.863
"(-10.234, -9.381]",0.572,0.561,0.546,0.537,0.537,0.548,0.569,0.602,0.655,0.707,0.719,0.723,0.741,0.765,0.786,0.795,0.803,0.813,0.824,0.833,0.84,0.843,0.844,0.847,0.851,0.853,0.854,0.856,0.859,0.862,0.865,0.868,0.87
"(-9.381, -8.528]",0.575,0.564,0.55,0.542,0.543,0.555,0.577,0.614,0.678,0.745,0.756,0.746,0.756,0.78,0.803,0.808,0.811,0.82,0.831,0.84,0.847,0.85,0.851,0.854,0.858,0.86,0.861,0.863,0.867,0.87,0.873,0.877,0.879
"(-8.528, -7.675]",0.581,0.572,0.561,0.556,0.559,0.572,0.594,0.629,0.695,0.769,0.788,0.781,0.787,0.797,0.807,0.813,0.82,0.83,0.84,0.849,0.856,0.859,0.861,0.863,0.867,0.87,0.871,0.873,0.877,0.88,0.883,0.887,0.889
"(-7.675, -6.823]",0.588,0.582,0.576,0.576,0.584,0.599,0.617,0.647,0.705,0.769,0.795,0.809,0.826,0.824,0.817,0.821,0.832,0.843,0.852,0.86,0.867,0.87,0.871,0.873,0.877,0.879,0.881,0.883,0.887,0.89,0.893,0.897,0.899
"(-6.823, -5.97]",0.598,0.595,0.593,0.598,0.612,0.63,0.64,0.662,0.709,0.759,0.792,0.822,0.851,0.855,0.84,0.838,0.851,0.864,0.869,0.873,0.878,0.881,0.883,0.885,0.888,0.89,0.891,0.893,0.897,0.9,0.903,0.907,0.909
"(-5.97, -5.117]",0.609,0.61,0.613,0.621,0.639,0.656,0.66,0.674,0.713,0.757,0.792,0.829,0.866,0.883,0.868,0.861,0.876,0.892,0.892,0.889,0.892,0.894,0.896,0.898,0.899,0.9,0.901,0.903,0.907,0.91,0.913,0.917,0.919
"(-5.117, -4.264]",0.622,0.626,0.633,0.645,0.663,0.68,0.681,0.688,0.723,0.763,0.799,0.838,0.877,0.899,0.896,0.896,0.909,0.923,0.916,0.907,0.908,0.91,0.911,0.911,0.911,0.911,0.911,0.913,0.917,0.92,0.923,0.927,0.929
"(-4.264, -3.411]",0.638,0.646,0.658,0.671,0.689,0.704,0.704,0.709,0.739,0.776,0.812,0.854,0.889,0.909,0.929,0.945,0.951,0.955,0.94,0.927,0.927,0.928,0.926,0.925,0.923,0.923,0.923,0.925,0.928,0.93,0.933,0.937,0.939
"(-3.411, -2.558]",0.663,0.674,0.688,0.702,0.715,0.723,0.723,0.731,0.757,0.788,0.824,0.872,0.906,0.928,0.964,0.986,0.987,0.98,0.96,0.947,0.948,0.947,0.943,0.941,0.939,0.938,0.938,0.938,0.94,0.941,0.943,0.947,0.949
"(-2.558, -1.706]",0.702,0.712,0.725,0.737,0.743,0.744,0.744,0.753,0.773,0.799,0.837,0.887,0.925,0.95,0.981,1.001,1.01,0.998,0.977,0.972,0.976,0.971,0.963,0.958,0.955,0.953,0.952,0.952,0.952,0.953,0.955,0.957,0.959
"(-1.706, -0.853]",0.749,0.755,0.764,0.772,0.777,0.777,0.777,0.783,0.796,0.82,0.856,0.897,0.932,0.963,0.988,1.007,1.023,1.009,0.99,0.995,1.003,0.994,0.981,0.974,0.969,0.966,0.965,0.964,0.964,0.964,0.965,0.966,0.967
"(-0.853, 0.0]",0.794,0.796,0.8,0.804,0.806,0.807,0.81,0.814,0.824,0.845,0.872,0.897,0.924,0.958,0.99,1.013,1.028,1.016,1.004,1.015,1.019,1.007,0.994,0.987,0.981,0.976,0.973,0.972,0.971,0.97,0.971,0.971,0.972
"(0.0, 2.312]",0.831,0.83,0.829,0.829,0.828,0.829,0.833,0.839,0.848,0.862,0.877,0.892,0.911,0.946,0.985,1.016,1.031,1.022,1.015,1.027,1.025,1.012,1.001,0.993,0.987,0.981,0.977,0.975,0.973,0.972,0.973,0.973,0.973
"(2.312, 4.548]",0.855,0.852,0.849,0.846,0.843,0.844,0.85,0.857,0.864,0.875,0.886,0.899,0.917,0.947,0.983,1.013,1.026,1.018,1.007,1.014,1.016,1.008,1.001,0.995,0.989,0.983,0.979,0.976,0.974,0.973,0.971,0.97,0.97
"(4.548, 6.804]",0.872,0.869,0.865,0.861,0.857,0.858,0.864,0.872,0.88,0.892,0.908,0.924,0.943,0.97,1.001,1.021,1.026,1.02,1.006,1.003,1.008,1.008,1.004,0.999,0.993,0.987,0.982,0.98,0.978,0.975,0.97,0.966,0.964
"(6.804, 9.067]",0.891,0.888,0.884,0.878,0.875,0.876,0.883,0.891,0.9,0.916,0.937,0.958,0.982,1.009,1.038,1.052,1.05,1.042,1.028,1.015,1.02,1.026,1.022,1.015,1.007,0.999,0.992,0.991,0.989,0.982,0.973,0.965,0.962
"(9.067, 11.332]",0.91,0.907,0.902,0.896,0.892,0.895,0.903,0.911,0.921,0.939,0.965,0.992,1.02,1.048,1.076,1.091,1.086,1.072,1.055,1.038,1.036,1.044,1.043,1.036,1.028,1.019,1.01,1.008,1.005,0.995,0.981,0.969,0.964
"(11.332, 13.597]",0.922,0.918,0.913,0.908,0.905,0.908,0.915,0.923,0.935,0.955,0.984,1.015,1.045,1.073,1.098,1.115,1.115,1.099,1.079,1.058,1.044,1.048,1.053,1.049,1.044,1.038,1.031,1.028,1.023,1.009,0.989,0.975,0.968
"(13.597, 15.864]",0.926,0.922,0.919,0.915,0.912,0.915,0.921,0.929,0.94,0.963,0.994,1.028,1.058,1.085,1.108,1.124,1.127,1.114,1.094,1.073,1.051,1.046,1.052,1.054,1.054,1.051,1.047,1.044,1.037,1.019,0.996,0.978,0.971
"(15.864, 18.13]",0.927,0.925,0.923,0.92,0.917,0.92,0.926,0.932,0.944,0.967,1.0,1.036,1.067,1.091,1.112,1.127,1.131,1.122,1.106,1.088,1.066,1.052,1.054,1.061,1.063,1.059,1.055,1.053,1.046,1.025,1.0,0.98,0.972
"(18.13, 20.396]",0.929,0.928,0.927,0.924,0.921,0.923,0.929,0.936,0.947,0.97,1.004,1.04,1.07,1.093,1.112,1.126,1.131,1.125,1.113,1.097,1.078,1.064,1.064,1.07,1.07,1.063,1.057,1.055,1.048,1.028,1.001,0.981,0.972
"(20.396, 22.662]",0.93,0.93,0.929,0.926,0.923,0.924,0.93,0.938,0.949,0.97,1.002,1.037,1.066,1.088,1.107,1.12,1.124,1.119,1.11,1.1,1.088,1.079,1.075,1.075,1.069,1.059,1.051,1.048,1.043,1.025,0.999,0.98,0.972
"(22.662, 24.928]",0.93,0.93,0.929,0.927,0.924,0.924,0.93,0.938,0.948,0.967,0.997,1.029,1.057,1.079,1.097,1.11,1.113,1.11,1.104,1.099,1.093,1.085,1.078,1.072,1.062,1.049,1.04,1.036,1.032,1.016,0.994,0.978,0.971
"(24.928, 27.195]",0.929,0.929,0.928,0.926,0.922,0.923,0.929,0.937,0.946,0.964,0.991,1.022,1.049,1.069,1.086,1.097,1.101,1.101,1.099,1.096,1.091,1.084,1.075,1.066,1.054,1.042,1.031,1.025,1.018,1.004,0.987,0.975,0.97
"(27.195, 29.461]",0.924,0.924,0.923,0.921,0.918,0.918,0.924,0.932,0.941,0.958,0.983,1.013,1.04,1.06,1.075,1.086,1.091,1.093,1.093,1.091,1.087,1.081,1.072,1.062,1.051,1.039,1.027,1.015,1.003,0.99,0.978,0.969,0.965
"(29.461, 31.727]",0.916,0.916,0.915,0.913,0.911,0.912,0.918,0.926,0.936,0.953,0.978,1.008,1.037,1.058,1.073,1.085,1.09,1.091,1.091,1.09,1.086,1.08,1.07,1.059,1.049,1.038,1.025,1.01,0.994,0.979,0.968,0.96,0.957
"(31.727, 33.993]",0.911,0.911,0.911,0.909,0.909,0.912,0.918,0.927,0.938,0.956,0.982,1.015,1.045,1.068,1.084,1.096,1.1,1.101,1.1,1.097,1.093,1.086,1.075,1.062,1.051,1.041,1.03,1.015,0.995,0.977,0.963,0.955,0.952
"(33.993, 36.259]",0.91,0.91,0.91,0.91,0.911,0.916,0.924,0.933,0.945,0.962,0.99,1.023,1.055,1.079,1.097,1.109,1.112,1.112,1.11,1.106,1.102,1.095,1.083,1.068,1.056,1.046,1.036,1.022,1.0,0.979,0.963,0.954,0.951
